GCA_025839675.1|NEF87_004011|UYP47726.1,A5UL52.1,45.845,349,167,6,1,349,1,327,6.13e-99,298,65.62
GCA_025839675.1|NEF87_004011|UYP47726.1,A8AAC1.1,45.087,346,168,5,13,349,15,347,6.86e-98,296,65.03
GCA_025839675.1|NEF87_004011|UYP47726.1,Q980U8.2,44.476,353,182,6,5,349,3,349,1.08e-93,286,64.31
GCA_025839675.1|NEF87_004011|UYP47726.1,A1RWY2.1,44.225,355,181,6,1,349,1,344,1.06e-92,283,64.23
GCA_025839675.1|NEF87_004011|UYP47726.1,Q12UT1.1,42.450,351,187,5,1,349,1,338,3.45e-92,281,63.82
GCA_025839675.1|NEF87_004011|UYP47726.1,Q9YFY5.3,43.235,340,181,5,1,336,1,332,7.70e-92,281,63.82
GCA_025839675.1|NEF87_004011|UYP47726.1,A3MY15.1,42.690,342,186,4,10,349,12,345,1.65e-91,280,64.62
GCA_025839675.1|NEF87_004011|UYP47726.1,A8M9L3.1,42.857,343,182,6,13,349,15,349,1.77e-91,280,65.31
GCA_025839675.1|NEF87_004011|UYP47726.1,Q8PYF6.1,42.735,351,186,5,1,349,1,338,4.01e-91,279,64.67
GCA_025839675.1|NEF87_004011|UYP47726.1,A2BMI0.1,43.275,342,177,6,1,336,1,331,7.76e-91,278,64.04
GCA_025839675.1|NEF87_004011|UYP47726.1,Q976H6.2,45.070,355,179,7,5,349,3,351,3.01e-90,277,66.20
GCA_025839675.1|NEF87_004011|UYP47726.1,A3DMG2.1,44.444,342,174,7,1,336,1,332,1.58e-89,275,64.04
GCA_025839675.1|NEF87_004011|UYP47726.1,O50123.1,43.220,354,180,9,1,349,1,338,2.99e-89,274,63.84
GCA_025839675.1|NEF87_004011|UYP47726.1,Q8TIY5.1,42.165,351,188,4,1,349,1,338,3.28e-89,274,64.39
GCA_025839675.1|NEF87_004011|UYP47726.1,Q9V0P9.1,43.220,354,180,9,1,349,1,338,8.03e-89,273,63.56
